university_id,University_Name,Type,State_UT,City_District,Year_of_Establishment,Accreditation_NAAC_Grade,NAAC_Score,Approval_Body,Number_of_Courses_UG,Number_of_Courses_PG,Number_of_Courses_Diploma,Number_of_Courses_PhD,NIRF_Ranking_Overall,NIRF_Ranking_by_stream,Hostel_Capacity_Boys,Hostel_Capacity_Girls,Library_Books_Count,Labs_Count_Smart_Classrooms,Placement_Rate_pct,Median_Package_INR,Top_Recruiters,BI_ME_FRP
132,Government East University 132,Central,Jammu & Kashmir,City_Jammu_33,2010,A,3.13,UGC,32,57,4,16,77,,251,16,114197,8,54.8,273080,LocalBanks;StateCorp;Infosys;LocalCompanies,"BasicInfo:Established 2010;Infra:Hostel 267 seats, Library 114197 books;Management:StateRun;Education:UG 32,PG 57,PhD 16;Finance:Moderate;Rankings:NIRF 77;Placement:Rate 54.8% Median 273080"
133,Global East Institute 133,State,Odisha,City_Odisha_34,1959,A,3.44,UGC;AICTE,145,37,19,39,,,179,244,18685,1,42.0,64867,TCS;Infosys;LocalCompanies;Wipro,"BasicInfo:Established 1959;Infra:Hostel 423 seats, Library 18685 books;Management:StateRun;Education:UG 145,PG 37,PhD 39;Finance:Moderate;Rankings:NIRF ;Placement:Rate 42.0% Median 64867"
134,Modern East School of Mines 134,State,Jharkhand,City_Jharkhand_35,1975,B++,3.17,UGC;AICTE,133,7,1,2,,,331,0,135085,87,53.9,391324,Infosys;LocalBanks;StateCorp;Wipro,"BasicInfo:Established 1975;Infra:Hostel 331 seats, Library 135085 books;Management:StateRun;Education:UG 133,PG 7,PhD 2;Finance:Moderate;Rankings:NIRF ;Placement:Rate 53.9% Median 391324"
135,Central Central School of Mines 135,Central,Himachal Pradesh,City_Himachal_36,1991,B,2.59,NAAC,46,52,19,19,,,304,224,54672,22,36.4,362503,LocalBanks;Startups;ConsultingFirms;Accenture,"BasicInfo:Established 1991;Infra:Hostel 528 seats, Library 54672 books;Management:StateRun;Education:UG 46,PG 52,PhD 19;Finance:Moderate;Rankings:NIRF ;Placement:Rate 36.4% Median 362503"
136,Government East Vishwavidyalaya 136,State,Haryana,City_Haryana_37,2003,B++,2.75,UGC,126,35,20,37,,,226,368,28352,57,62.6,495011,Wipro;LocalCompanies;Accenture;ConsultingFirms,"BasicInfo:Established 2003;Infra:Hostel 594 seats, Library 28352 books;Management:StateRun;Education:UG 126,PG 35,PhD 37;Finance:Moderate;Rankings:NIRF ;Placement:Rate 62.6% Median 495011"
137,Metro Metro Institute 137,State,Meghalaya,City_Meghalaya_38,1954,B++,2.79,UGC,53,4,14,20,53,,185,45,1000,49,47.7,50000,StateCorp;Infosys;Wipro;LocalBanks,"BasicInfo:Established 1954;Infra:Hostel 230 seats, Library 1000 books;Management:StateRun;Education:UG 53,PG 4,PhD 20;Finance:Moderate;Rankings:NIRF 53;Placement:Rate 47.7% Median 50000"
138,Global Central University of Science and Technology 138,State,Chandigarh,City_Chandigarh_39,1957,B+,2.76,UGC;AICTE;PCI,58,73,10,30,53,,213,307,6774,35,79.0,234471,ConsultingFirms;StateCorp;Infosys;TCS,"BasicInfo:Established 1957;Infra:Hostel 520 seats, Library 6774 books;Management:StateRun;Education:UG 58,PG 73,PhD 30;Finance:Moderate;Rankings:NIRF 53;Placement:Rate 79.0% Median 234471"
139,Global Central Vishwavidyalaya 139,State,Tamil Nadu,City_Tamil_40,1983,B++,2.88,AICTE,68,37,17,19,,,177,207,1000,27,98.0,731317,Wipro;Accenture;StateCorp;Infosys,"BasicInfo:Established 1983;Infra:Hostel 384 seats, Library 1000 books;Management:StateRun;Education:UG 68,PG 37,PhD 19;Finance:Moderate;Rankings:NIRF ;Placement:Rate 98.0% Median 731317"
140,Tech West Vishwavidyalaya 140,Deemed,Tamil Nadu,City_Tamil_41,2021,C,1.86,NAAC,78,17,18,34,91,,158,240,109773,1,76.1,259887,StateCorp;ConsultingFirms;Startups;Infosys,"BasicInfo:Established 2021;Infra:Hostel 398 seats, Library 109773 books;Management:StateRun;Education:UG 78,PG 17,PhD 34;Finance:Moderate;Rankings:NIRF 91;Placement:Rate 76.1% Median 259887"
141,Central North Vishwavidyalaya 141,Autonomous,Odisha,City_Odisha_42,1960,A,3.34,UGC;AICTE,70,97,15,13,,,82,7,74785,39,68.3,353678,Wipro;Accenture;Startups;LocalBanks,"BasicInfo:Established 1960;Infra:Hostel 89 seats, Library 74785 books;Management:StateRun;Education:UG 70,PG 97,PhD 13;Finance:Moderate;Rankings:NIRF ;Placement:Rate 68.3% Median 353678"
142,Indian Institute of Technology Patna,Central,Meghalaya,Patna,1956,B+,2.68,UGC;AICTE;PCI,62,83,7,3,,,344,415,5400,1,58.2,1044927,TCS;StateCorp;Infosys;LocalBanks,"BasicInfo:Established 1956;Infra:Hostel 759 seats, Library 5400 books;Management:StateRun;Education:UG 62,PG 83,PhD 3;Finance:Moderate;Rankings:NIRF ;Placement:Rate 58.2% Median 1044927"
143,Central Central University 143,State,Karnataka,City_Karnataka_44,2002,B+,2.58,UGC;AICTE,127,85,6,18,,,445,267,138323,29,49.3,50000,LocalBanks;Accenture;ConsultingFirms;LocalCompanies,"BasicInfo:Established 2002;Infra:Hostel 712 seats, Library 138323 books;Management:StateRun;Education:UG 127,PG 85,PhD 18;Finance:Moderate;Rankings:NIRF ;Placement:Rate 49.3% Median 50000"
144,State Central Institute of Science 144,Autonomous,Manipur,City_Manipur_45,2018,B+,2.78,UGC,49,55,5,2,,,112,28,1000,1,60.7,207506,StateCorp;Startups;TCS;LocalBanks,"BasicInfo:Established 2018;Infra:Hostel 140 seats, Library 1000 books;Management:StateRun;Education:UG 49,PG 55,PhD 2;Finance:Moderate;Rankings:NIRF ;Placement:Rate 60.7% Median 207506"
145,Indian North University 145,Autonomous,Punjab,City_Punjab_46,1963,B,2.44,NAAC,77,60,20,34,,,0,205,219428,1,35.3,573749,ConsultingFirms;Startups;TCS;Accenture,"BasicInfo:Established 1963;Infra:Hostel 205 seats, Library 219428 books;Management:StateRun;Education:UG 77,PG 60,PhD 34;Finance:Moderate;Rankings:NIRF ;Placement:Rate 35.3% Median 573749"
146,National North University of Science and Technology 146,State,Sikkim,City_Sikkim_47,1970,B+,2.99,NAAC,52,3,10,18,93,,396,233,23853,1,85.0,324976,Wipro;Infosys;Accenture;LocalBanks,"BasicInfo:Established 1970;Infra:Hostel 629 seats, Library 23853 books;Management:StateRun;Education:UG 52,PG 3,PhD 18;Finance:Moderate;Rankings:NIRF 93;Placement:Rate 85.0% Median 324976"
147,Indian Institute of Technology Indore,Central,Goa,Indore,2001,B+,2.35,AICTE,40,63,10,15,89,,125,59,113145,1,65.5,603324,LocalCompanies;Accenture;Wipro;TCS,"BasicInfo:Established 2001;Infra:Hostel 184 seats, Library 113145 books;Management:StateRun;Education:UG 40,PG 63,PhD 15;Finance:Moderate;Rankings:NIRF 89;Placement:Rate 65.5% Median 603324"
148,Indian East Vishwavidyalaya 148,State,Andhra Pradesh,City_Andhra_49,1983,B+,2.6,AICTE,20,87,3,29,,,156,101,1000,1,35.6,220329,Accenture;Infosys;Wipro;LocalBanks,"BasicInfo:Established 1983;Infra:Hostel 257 seats, Library 1000 books;Management:StateRun;Education:UG 20,PG 87,PhD 29;Finance:Moderate;Rankings:NIRF ;Placement:Rate 35.6% Median 220329"
149,Indian North Institute of Science 149,Central,Odisha,City_Odisha_50,1997,B++,3.03,AICTE,39,63,4,29,,,185,203,7559,70,97.9,406530,LocalBanks;StateCorp;ConsultingFirms;Accenture,"BasicInfo:Established 1997;Infra:Hostel 388 seats, Library 7559 books;Management:StateRun;Education:UG 39,PG 63,PhD 29;Finance:Moderate;Rankings:NIRF ;Placement:Rate 97.9% Median 406530"
150,Global Metro University of Science and Technology 150,Autonomous,Maharashtra,City_Maharashtra_1,1981,B+,2.33,UGC;AICTE;PCI,25,69,14,33,,,255,390,1000,33,71.6,269399,LocalBanks;TCS;Accenture;LocalCompanies,"BasicInfo:Established 1981;Infra:Hostel 645 seats, Library 1000 books;Management:StateRun;Education:UG 25,PG 69,PhD 33;Finance:Moderate;Rankings:NIRF ;Placement:Rate 71.6% Median 269399"
151,National Institute of Technology Durgapur,Central,Dadra & Nagar Haveli and Daman & Diu,Durgapur,1969,A+,3.53,UGC;AICTE;PCI,118,16,6,37,,,118,235,59618,1,98.0,628093,Startups;TCS;Accenture;Wipro,"BasicInfo:Established 1969;Infra:Hostel 353 seats, Library 59618 books;Management:StateRun;Education:UG 118,PG 16,PhD 37;Finance:Moderate;Rankings:NIRF ;Placement:Rate 98.0% Median 628093"
152,Tech Central Institute 152,Deemed,Uttarakhand,City_Uttarakhand_3,2008,B++,2.76,UGC;AICTE;PCI,123,88,9,1,,,243,136,90822,49,58.8,137076,StateCorp;Accenture;ConsultingFirms;LocalCompanies,"BasicInfo:Established 2008;Infra:Hostel 379 seats, Library 90822 books;Management:StateRun;Education:UG 123,PG 88,PhD 1;Finance:Moderate;Rankings:NIRF ;Placement:Rate 58.8% Median 137076"
153,State West University 153,Deemed,Tamil Nadu,City_Tamil_4,1958,B++,3.04,UGC,22,62,1,18,,,54,105,100609,21,55.4,71930,StateCorp;Infosys;ConsultingFirms;TCS,"BasicInfo:Established 1958;Infra:Hostel 159 seats, Library 100609 books;Management:StateRun;Education:UG 22,PG 62,PhD 18;Finance:Moderate;Rankings:NIRF ;Placement:Rate 55.4% Median 71930"
154,Metro West Vishwavidyalaya 154,Deemed,Delhi,City_Delhi_5,1998,A,3.07,UGC;AICTE;PCI,39,85,11,7,60,,296,314,2120,1,45.8,613615,Infosys;StateCorp;Accenture;TCS,"BasicInfo:Established 1998;Infra:Hostel 610 seats, Library 2120 books;Management:StateRun;Education:UG 39,PG 85,PhD 7;Finance:Moderate;Rankings:NIRF 60;Placement:Rate 45.8% Median 613615"
155,National North University of Science and Technology 155,Deemed,Arunachal Pradesh,City_Arunachal_6,1988,B++,3.23,UGC;AICTE;PCI,113,70,12,14,86,,402,0,122994,34,98.0,139006,Wipro;Startups;Infosys;TCS,"BasicInfo:Established 1988;Infra:Hostel 402 seats, Library 122994 books;Management:StateRun;Education:UG 113,PG 70,PhD 14;Finance:Moderate;Rankings:NIRF 86;Placement:Rate 98.0% Median 139006"
156,State Metro University 156,State,Uttarakhand,City_Uttarakhand_7,1952,A,3.27,UGC,30,78,1,28,56,,0,473,17503,1,55.3,138380,LocalCompanies;Wipro;LocalBanks;ConsultingFirms,"BasicInfo:Established 1952;Infra:Hostel 473 seats, Library 17503 books;Management:StateRun;Education:UG 30,PG 78,PhD 28;Finance:Moderate;Rankings:NIRF 56;Placement:Rate 55.3% Median 138380"
157,National South School of Mines 157,State,Bihar,City_Bihar_8,1967,B++,2.85,NAAC,64,95,18,20,,,286,262,10498,1,70.3,53013,LocalBanks;Wipro;Infosys;TCS,"BasicInfo:Established 1967;Infra:Hostel 548 seats, Library 10498 books;Management:StateRun;Education:UG 64,PG 95,PhD 20;Finance:Moderate;Rankings:NIRF ;Placement:Rate 70.3% Median 53013"
158,Global West Institute 158,Autonomous,Punjab,City_Punjab_9,1985,A++,3.69,UGC;AICTE;PCI,49,82,13,35,75,,309,1,85424,56,53.9,656538,Startups;LocalCompanies;Infosys;LocalBanks,"BasicInfo:Established 1985;Infra:Hostel 310 seats, Library 85424 books;Management:StateRun;Education:UG 49,PG 82,PhD 35;Finance:Moderate;Rankings:NIRF 75;Placement:Rate 53.9% Median 656538"
159,Global Metro Vishwavidyalaya 159,Deemed,Uttarakhand,City_Uttarakhand_10,2002,A+,3.64,UGC;AICTE,52,98,17,30,,,90,189,36662,44,45.8,395412,Wipro;ConsultingFirms;Infosys;LocalBanks,"BasicInfo:Established 2002;Infra:Hostel 279 seats, Library 36662 books;Management:StateRun;Education:UG 52,PG 98,PhD 30;Finance:Moderate;Rankings:NIRF ;Placement:Rate 45.8% Median 395412"
160,Tech Central University 160,State,Uttarakhand,City_Uttarakhand_11,2003,B++,3.2,AICTE,104,33,8,13,66,,204,59,86797,1,98.0,434133,LocalBanks;TCS;Wipro;Infosys,"BasicInfo:Established 2003;Infra:Hostel 263 seats, Library 86797 books;Management:StateRun;Education:UG 104,PG 33,PhD 13;Finance:Moderate;Rankings:NIRF 66;Placement:Rate 98.0% Median 434133"
161,National East University 161,State,Tripura,City_Tripura_12,1955,B,2.35,AICTE,148,29,15,13,73,,227,151,6592,1,14.6,130834,LocalBanks;Accenture;LocalCompanies;TCS,"BasicInfo:Established 1955;Infra:Hostel 378 seats, Library 6592 books;Management:StateRun;Education:UG 148,PG 29,PhD 13;Finance:Moderate;Rankings:NIRF 73;Placement:Rate 14.6% Median 130834"
162,State West Institute of Science 162,Autonomous,Meghalaya,City_Meghalaya_13,1976,A,3.03,AICTE,146,43,9,24,59,,291,307,1000,4,65.6,168594,Startups;LocalBanks;Infosys;StateCorp,"BasicInfo:Established 1976;Infra:Hostel 598 seats, Library 1000 books;Management:StateRun;Education:UG 146,PG 43,PhD 24;Finance:Moderate;Rankings:NIRF 59;Placement:Rate 65.6% Median 168594"
163,Tech North Institute of Technology 163,State,Chandigarh,City_Chandigarh_14,1990,B,2.31,NAAC,85,54,1,36,,,205,72,124227,21,65.4,782117,Wipro;Infosys;LocalCompanies;Startups,"BasicInfo:Established 1990;Infra:Hostel 277 seats, Library 124227 books;Management:StateRun;Education:UG 85,PG 54,PhD 36;Finance:Moderate;Rankings:NIRF ;Placement:Rate 65.4% Median 782117"
164,Metro South Vishwavidyalaya 164,Central,Madhya Pradesh,City_Madhya_15,1992,A,3.38,UGC;AICTE;PCI,67,65,17,21,64,,234,41,30917,1,16.7,643565,Accenture;Startups;LocalBanks;StateCorp,"BasicInfo:Established 1992;Infra:Hostel 275 seats, Library 30917 books;Management:StateRun;Education:UG 67,PG 65,PhD 21;Finance:Moderate;Rankings:NIRF 64;Placement:Rate 16.7% Median 643565"
165,Tech Metro Institute 165,Deemed,Tamil Nadu,City_Tamil_16,1971,A+,3.63,UGC;AICTE;PCI,130,25,17,3,,,276,4,140838,9,71.0,932236,ConsultingFirms;LocalCompanies;StateCorp;Startups,"BasicInfo:Established 1971;Infra:Hostel 280 seats, Library 140838 books;Management:StateRun;Education:UG 130,PG 25,PhD 3;Finance:Moderate;Rankings:NIRF ;Placement:Rate 71.0% Median 932236"
166,Government North University of Science and Technology 166,Autonomous,Uttarakhand,City_Uttarakhand_17,1967,B,2.5,AICTE,22,92,4,0,,,5,178,38240,9,43.4,627335,Wipro;Startups;Infosys;LocalCompanies,"BasicInfo:Established 1967;Infra:Hostel 183 seats, Library 38240 books;Management:StateRun;Education:UG 22,PG 92,PhD 0;Finance:Moderate;Rankings:NIRF ;Placement:Rate 43.4% Median 627335"
167,Tech West Institute of Science 167,Central,Arunachal Pradesh,City_Arunachal_18,1950,B++,3.05,UGC;AICTE,8,4,16,17,99,,97,153,1000,34,74.5,975102,ConsultingFirms;Accenture;LocalCompanies;Startups,"BasicInfo:Established 1950;Infra:Hostel 250 seats, Library 1000 books;Management:StateRun;Education:UG 8,PG 4,PhD 17;Finance:Moderate;Rankings:NIRF 99;Placement:Rate 74.5% Median 975102"
168,Metro South University of Science and Technology 168,Deemed,Gujarat,City_Gujarat_19,1962,B++,3.16,AICTE,54,81,16,16,,,313,195,153180,40,57.2,93925,LocalBanks;Accenture;StateCorp;Wipro,"BasicInfo:Established 1962;Infra:Hostel 508 seats, Library 153180 books;Management:StateRun;Education:UG 54,PG 81,PhD 16;Finance:Moderate;Rankings:NIRF ;Placement:Rate 57.2% Median 93925"
169,Indian Institute of Technology Indore,Central,Meghalaya,Indore,1978,A,3.42,UGC,13,13,12,24,,,60,124,1000,2,71.8,817476,StateCorp;Startups;LocalCompanies;LocalBanks,"BasicInfo:Established 1978;Infra:Hostel 184 seats, Library 1000 books;Management:StateRun;Education:UG 13,PG 13,PhD 24;Finance:Moderate;Rankings:NIRF ;Placement:Rate 71.8% Median 817476"
170,Central West University 170,State,West Bengal,City_West_21,1992,B++,3.06,UGC,140,7,7,13,62,,445,465,68474,27,76.5,599450,Startups;Accenture;LocalCompanies;StateCorp,"BasicInfo:Established 1992;Infra:Hostel 910 seats, Library 68474 books;Management:StateRun;Education:UG 140,PG 7,PhD 13;Finance:Moderate;Rankings:NIRF 62;Placement:Rate 76.5% Median 599450"
171,Indian Central School of Mines 171,Deemed,Assam,City_Assam_22,1972,B,2.38,NAAC,9,28,18,9,,,383,115,1000,56,72.4,285465,StateCorp;TCS;Infosys;Startups,"BasicInfo:Established 1972;Infra:Hostel 498 seats, Library 1000 books;Management:StateRun;Education:UG 9,PG 28,PhD 9;Finance:Moderate;Rankings:NIRF ;Placement:Rate 72.4% Median 285465"
172,National Institute of Technology Durgapur,Central,Dadra & Nagar Haveli and Daman & Diu,Durgapur,1981,A,3.25,AICTE,25,66,11,3,59,,0,301,5851,96,48.7,446137,TCS;StateCorp;ConsultingFirms;LocalCompanies,"BasicInfo:Established 1981;Infra:Hostel 301 seats, Library 5851 books;Management:StateRun;Education:UG 25,PG 66,PhD 3;Finance:Moderate;Rankings:NIRF 59;Placement:Rate 48.7% Median 446137"
173,Metro East University of Science and Technology 173,State,Arunachal Pradesh,City_Arunachal_24,1984,B+,3.01,UGC;AICTE,130,31,11,35,,,381,75,116228,19,86.2,678975,StateCorp;ConsultingFirms;TCS;LocalBanks,"BasicInfo:Established 1984;Infra:Hostel 456 seats, Library 116228 books;Management:StateRun;Education:UG 130,PG 31,PhD 35;Finance:Moderate;Rankings:NIRF ;Placement:Rate 86.2% Median 678975"
174,Metro Central University 174,Central,Odisha,City_Odisha_25,1981,B+,2.6,UGC,73,21,12,40,,,28,126,1000,1,58.3,369563,Infosys;StateCorp;ConsultingFirms;Startups,"BasicInfo:Established 1981;Infra:Hostel 154 seats, Library 1000 books;Management:StateRun;Education:UG 73,PG 21,PhD 40;Finance:Moderate;Rankings:NIRF ;Placement:Rate 58.3% Median 369563"
175,Government West Vishwavidyalaya 175,State,Telangana,City_Telangana_26,1984,A+,3.45,UGC,52,57,14,35,,,478,108,70933,54,53.9,699660,ConsultingFirms;StateCorp;LocalCompanies;Startups,"BasicInfo:Established 1984;Infra:Hostel 586 seats, Library 70933 books;Management:StateRun;Education:UG 52,PG 57,PhD 35;Finance:Moderate;Rankings:NIRF ;Placement:Rate 53.9% Median 699660"
176,Global Central University 176,State,Rajasthan,City_Rajasthan_27,1999,A++,3.51,UGC;AICTE,104,12,17,15,99,,276,47,184959,70,68.6,449325,ConsultingFirms;Infosys;LocalBanks;Wipro,"BasicInfo:Established 1999;Infra:Hostel 323 seats, Library 184959 books;Management:StateRun;Education:UG 104,PG 12,PhD 15;Finance:Moderate;Rankings:NIRF 99;Placement:Rate 68.6% Median 449325"
177,Indian East Vishwavidyalaya 177,State,Jammu & Kashmir,City_Jammu_28,1968,A++,3.74,UGC;AICTE,75,55,9,30,86,,279,0,1000,24,66.6,278310,TCS;LocalBanks;Infosys;ConsultingFirms,"BasicInfo:Established 1968;Infra:Hostel 279 seats, Library 1000 books;Management:StateRun;Education:UG 75,PG 55,PhD 30;Finance:Moderate;Rankings:NIRF 86;Placement:Rate 66.6% Median 278310"
178,Tech Central School of Mines 178,Deemed,Madhya Pradesh,City_Madhya_29,2008,A+,3.62,NAAC,6,52,10,39,,,130,108,108277,14,53.6,395420,StateCorp;LocalBanks;Wipro;Infosys,"BasicInfo:Established 2008;Infra:Hostel 238 seats, Library 108277 books;Management:StateRun;Education:UG 6,PG 52,PhD 39;Finance:Moderate;Rankings:NIRF ;Placement:Rate 53.6% Median 395420"
179,Central East Vishwavidyalaya 179,State,Madhya Pradesh,City_Madhya_30,2011,A,3.43,UGC;AICTE,86,39,20,31,,,96,21,1000,5,74.3,443479,Wipro;LocalBanks;ConsultingFirms;Infosys,"BasicInfo:Established 2011;Infra:Hostel 117 seats, Library 1000 books;Management:StateRun;Education:UG 86,PG 39,PhD 31;Finance:Moderate;Rankings:NIRF ;Placement:Rate 74.3% Median 443479"
180,Metro North Vishwavidyalaya 180,Deemed,Madhya Pradesh,City_Madhya_31,2019,A,3.27,UGC;AICTE;PCI,11,95,14,13,,,2,18,36496,23,75.7,177216,Startups;Accenture;StateCorp;LocalBanks,"BasicInfo:Established 2019;Infra:Hostel 20 seats, Library 36496 books;Management:StateRun;Education:UG 11,PG 95,PhD 13;Finance:Moderate;Rankings:NIRF ;Placement:Rate 75.7% Median 177216"
181,Metro West Institute of Science 181,State,Himachal Pradesh,City_Himachal_32,1988,A,3.26,AICTE,113,50,2,28,,,339,215,150348,32,59.9,511500,Startups;StateCorp;Accenture;ConsultingFirms,"BasicInfo:Established 1988;Infra:Hostel 554 seats, Library 150348 books;Management:StateRun;Education:UG 113,PG 50,PhD 28;Finance:Moderate;Rankings:NIRF ;Placement:Rate 59.9% Median 511500"
182,Metro North School of Mines 182,Autonomous,Telangana,City_Telangana_33,2018,B++,2.89,UGC,32,100,7,22,70,,0,289,1000,1,64.0,687159,Infosys;LocalCompanies;Accenture;LocalBanks,"BasicInfo:Established 2018;Infra:Hostel 289 seats, Library 1000 books;Management:StateRun;Education:UG 32,PG 100,PhD 22;Finance:Moderate;Rankings:NIRF 70;Placement:Rate 64.0% Median 687159"
183,Metro East University of Science and Technology 183,Deemed,West Bengal,City_West_34,1963,A++,3.86,NAAC,61,67,16,35,71,,303,410,125225,36,51.3,126163,Wipro;Startups;Infosys;ConsultingFirms,"BasicInfo:Established 1963;Infra:Hostel 713 seats, Library 125225 books;Management:StateRun;Education:UG 61,PG 67,PhD 35;Finance:Moderate;Rankings:NIRF 71;Placement:Rate 51.3% Median 126163"
184,Global East Institute 184,State,Arunachal Pradesh,City_Arunachal_35,2011,A+,3.57,UGC;AICTE,26,16,4,22,65,,465,25,1000,22,87.9,414253,Accenture;LocalBanks;Wipro;TCS,"BasicInfo:Established 2011;Infra:Hostel 490 seats, Library 1000 books;Management:StateRun;Education:UG 26,PG 16,PhD 22;Finance:Moderate;Rankings:NIRF 65;Placement:Rate 87.9% Median 414253"
185,Modern North Institute of Technology 185,Central,Delhi,City_Delhi_36,2007,A,3.21,NAAC,16,92,3,1,69,,290,339,71974,30,43.3,275625,LocalBanks;TCS;ConsultingFirms;Startups,"BasicInfo:Established 2007;Infra:Hostel 629 seats, Library 71974 books;Management:StateRun;Education:UG 16,PG 92,PhD 1;Finance:Moderate;Rankings:NIRF 69;Placement:Rate 43.3% Median 275625"
186,National South School of Mines 186,Autonomous,Karnataka,City_Karnataka_37,1992,B++,2.9,UGC;AICTE,64,53,20,11,,,474,392,28522,1,44.8,50000,Infosys;StateCorp;Wipro;LocalCompanies,"BasicInfo:Established 1992;Infra:Hostel 866 seats, Library 28522 books;Management:StateRun;Education:UG 64,PG 53,PhD 11;Finance:Moderate;Rankings:NIRF ;Placement:Rate 44.8% Median 50000"
187,National Central Institute of Technology 187,Deemed,West Bengal,City_West_38,1999,A++,3.47,AICTE,57,37,2,36,54,,44,0,66052,30,87.4,697036,TCS;Infosys;Startups;StateCorp,"BasicInfo:Established 1999;Infra:Hostel 44 seats, Library 66052 books;Management:StateRun;Education:UG 57,PG 37,PhD 36;Finance:Moderate;Rankings:NIRF 54;Placement:Rate 87.4% Median 697036"
188,State Metro Vishwavidyalaya 188,State,Jammu & Kashmir,City_Jammu_39,2017,C,1.88,NAAC,104,80,12,37,,,272,48,1000,50,53.3,299087,TCS;LocalBanks;Infosys;Wipro,"BasicInfo:Established 2017;Infra:Hostel 320 seats, Library 1000 books;Management:StateRun;Education:UG 104,PG 80,PhD 37;Finance:Moderate;Rankings:NIRF ;Placement:Rate 53.3% Median 299087"
189,Indian Central School of Mines 189,Central,Goa,City_Goa_40,1967,A,3.16,AICTE,83,16,5,23,,,263,61,66293,25,64.8,530323,Infosys;StateCorp;Wipro;Accenture,"BasicInfo:Established 1967;Infra:Hostel 324 seats, Library 66293 books;Management:StateRun;Education:UG 83,PG 16,PhD 23;Finance:Moderate;Rankings:NIRF ;Placement:Rate 64.8% Median 530323"
190,Metro South Institute of Technology 190,State,Jammu & Kashmir,City_Jammu_41,2018,B+,2.7,AICTE,147,23,15,18,,,40,201,35028,49,83.7,1047390,Infosys;ConsultingFirms;Startups;Wipro,"BasicInfo:Established 2018;Infra:Hostel 241 seats, Library 35028 books;Management:StateRun;Education:UG 147,PG 23,PhD 18;Finance:Moderate;Rankings:NIRF ;Placement:Rate 83.7% Median 1047390"
191,Modern West University 191,Central,Himachal Pradesh,City_Himachal_42,1974,B,2.43,UGC;AICTE;PCI,134,85,15,26,78,,147,208,31166,28,51.4,68015,Startups;StateCorp;LocalBanks;Wipro,"BasicInfo:Established 1974;Infra:Hostel 355 seats, Library 31166 books;Management:StateRun;Education:UG 134,PG 85,PhD 26;Finance:Moderate;Rankings:NIRF 78;Placement:Rate 51.4% Median 68015"
192,State North School of Mines 192,State,Manipur,City_Manipur_43,1987,A++,3.96,AICTE,142,38,5,29,,,0,169,2130,69,65.0,505368,Startups;TCS;Accenture;LocalCompanies,"BasicInfo:Established 1987;Infra:Hostel 169 seats, Library 2130 books;Management:StateRun;Education:UG 142,PG 38,PhD 29;Finance:Moderate;Rankings:NIRF ;Placement:Rate 65.0% Median 505368"
193,Global East University of Science and Technology 193,State,Dadra & Nagar Haveli and Daman & Diu,City_Dadra_44,1955,B+,2.99,UGC;AICTE,144,29,13,6,,,0,201,80595,5,65.9,169216,Wipro;Accenture;StateCorp;LocalCompanies,"BasicInfo:Established 1955;Infra:Hostel 201 seats, Library 80595 books;Management:StateRun;Education:UG 144,PG 29,PhD 6;Finance:Moderate;Rankings:NIRF ;Placement:Rate 65.9% Median 169216"
194,Modern North University of Science and Technology 194,State,Delhi,City_Delhi_45,1965,B+,2.78,AICTE,58,96,18,22,52,,218,382,1000,1,70.3,444895,StateCorp;Infosys;Accenture;TCS,"BasicInfo:Established 1965;Infra:Hostel 600 seats, Library 1000 books;Management:StateRun;Education:UG 58,PG 96,PhD 22;Finance:Moderate;Rankings:NIRF 52;Placement:Rate 70.3% Median 444895"
195,National North University of Science and Technology 195,Deemed,Tamil Nadu,City_Tamil_46,2018,A,3.4,UGC;AICTE;PCI,48,43,9,18,82,,366,104,1000,1,48.4,162037,Accenture;TCS;Startups;Wipro,"BasicInfo:Established 2018;Infra:Hostel 470 seats, Library 1000 books;Management:StateRun;Education:UG 48,PG 43,PhD 18;Finance:Moderate;Rankings:NIRF 82;Placement:Rate 48.4% Median 162037"
196,Indian Metro University of Science and Technology 196,Autonomous,Himachal Pradesh,City_Himachal_47,1966,A,3.25,NAAC,68,99,12,31,,,192,113,81059,1,76.9,523803,Infosys;Accenture;LocalBanks;Wipro,"BasicInfo:Established 1966;Infra:Hostel 305 seats, Library 81059 books;Management:StateRun;Education:UG 68,PG 99,PhD 31;Finance:Moderate;Rankings:NIRF ;Placement:Rate 76.9% Median 523803"
197,State North Institute of Science 197,State,Uttar Pradesh,City_Uttar_48,2015,B+,3.01,NAAC,121,64,10,37,,,341,56,217302,8,54.4,370031,LocalCompanies;TCS;LocalBanks;Wipro,"BasicInfo:Established 2015;Infra:Hostel 397 seats, Library 217302 books;Management:StateRun;Education:UG 121,PG 64,PhD 37;Finance:Moderate;Rankings:NIRF ;Placement:Rate 54.4% Median 370031"
198,Modern North University of Science and Technology 198,Central,Dadra & Nagar Haveli and Daman & Diu,City_Dadra_49,2000,A,3.27,UGC;AICTE,59,65,8,20,63,,0,243,134008,1,68.6,624783,Accenture;LocalBanks;ConsultingFirms;StateCorp,"BasicInfo:Established 2000;Infra:Hostel 243 seats, Library 134008 books;Management:StateRun;Education:UG 59,PG 65,PhD 20;Finance:Moderate;Rankings:NIRF 63;Placement:Rate 68.6% Median 624783"
